RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location,year,month,Latitude,Longitude
2,P190531375,02/22/2019 10:08:00 AM,Non-Emergency,WD,Hot Spot Check,1600 BLK N SMALLWOOD ST,21216.0,Coppin Heights/Ash-Co-East,Western,723.0,7.0,D9,Greater Rosemont,Census Tract 1503,Western,"1600 BLK N SMALLWOOD ST
BALTIMORE, MD",2019,2,39.306576,-76.652644
6145754,P191011722,04/11/2019 10:45:00 AM,Non-Emergency,SW,Business Check,3400 CLIFTON AV,21216.0,Mount Holly,Southwestern,812.0,7.0,D9,Greater Rosemont,Census Tract 1506,,"3400 CLIFTON AV
BALTIMORE, MD",2019,4,39.311111,-76.674312
6145643,P191011721,04/11/2019 10:45:00 AM,Non-Emergency,SD,Foot  Patrol,HOLLINS MARKET,21223.0,Hollins Market,Southern,931.0,9.0,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1803,,"HOLLINS MARKET BALTIMORE, MD",2019,4,39.2875378,-76.6357388
6144900,P191010884,04/11/2019 07:22:00 AM,Non-Emergency,SD,ANIMAL DISTURBAN,2000 CHRISTIAN ST,21223.0,Carrollton Ridge,Southern,934.0,9.0,D8,Southwest Baltimore,Census Tract 2003,Tri-District,"2000 CHRISTIAN ST
BALTIMORE, MD",2019,4,39.2822422,-76.6485683
6144905,P191011002,04/11/2019 08:01:00 AM,Medium,WD,DISORDERLY,1600 N CAREY ST,21217.0,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,"1600 N CAREY ST
BALTIMORE, MD",2019,4,39.307651,-76.641473
6144911,P191010924,04/11/2019 07:38:00 AM,Non-Emergency,NW,HIT AND RUN,3400 DUVALL AV,21216.0,Hanlon-Longwood,Northwestern,641.0,7.0,D9,Forest Park/Walbrook,Census Tract 1508,,"3400 DUVALL AV
BALTIMORE, MD",2019,4,39.320419,-76.67497
7473156,P200581617,02/27/2020 09:56:00 AM,Medium,CD,DISORDERLY,0 N EUTAW ST,21201.0,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,,"0 N EUTAW ST
BALTIMORE, MD",2020,2,39.2943508,-76.6212438
6694686,P192852266,10/12/2019 02:31:00 PM,Low,SE,GAMBLING,DUNDALK AV/HOLABIRD AV,21224.0,Graceland Park,Southeastern,243.0,1.0,D6,Southeastern,Census Tract 2606.05,,"DUNDALK AV
BALTIMORE, MD",2019,10,39.286154,-76.5416098
7473387,P200581839,02/27/2020 11:00:00 AM,Medium,SD,WANTED ON WARR,3700 ST MARGARET ST,21225.0,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,Brooklyn,"3700 ST MARGARET ST
BALTIMORE, MD
(39.233113, -76.595403)",2020,2,39.23316925,-76.59565366615854
7473987,P200582512,02/27/2020 02:13:00 PM,Low,SE,911/NO  VOICE,3800 E BALTIMORE ST,21224.0,Baltimore Highlands,Southeastern,223.0,2.0,D6,Orangeville/East Highlandtown,Census Tract 2604.04,,"3800 E BALTIMORE ST
BALTIMORE, MD
(39.292687, -76.564344)",2020,2,39.2928114,-76.5652993
